,Annual_Income,Credit_Score,Debt_to_Income,Employment_Length,Age,Loan_Approval
0,65581.31129049943,505.5024501566842,0.7299983109899704,12.762891367443478,73,0
1,120317.85910894204,483.1016529272718,0.18451199559871156,9.185849070683862,38,1
2,99539.42447208348,396.884651876573,0.3466396943698862,19.289970497278816,18,0
3,86872.55599871848,633.9966685558184,0.6632806368578182,4.379569019684764,69,1
4,44821.77084203147,562.1432882797459,0.48208934452447993,11.757128319978813,20,0
5,44819.47943193925,776.135545778202,0.7385710386348938,14.004200299804452,30,1
6,35517.94315597895,317.66026926513206,0.9612079012228597,16.511289786907632,24,0
7,112286.73384861884,654.1273601553195,0.1165466877151975,8.139420608560142,23,1
8,87105.92611560483,719.6218831813586,0.7095677163980609,13.73843815314963,80,1
9,97266.89489062432,717.7176130535689,0.23034415563211452,6.0640294276856554,23,1
10,31955.526958101233,787.3406819025388,0.41447672740756925,8.709521847236406,51,0
11,122141.43595538946,700.9685585562218,0.032862725795139824,17.912542624067985,49,1
12,109082.05087604007,810.295533906233,0.13590738229269894,18.998152186619087,33,1
13,50172.21551443623,482.9611299014903,0.3197772890488997,14.376346938545295,55,0
14,47273.37188467456,576.7651792133487,0.34198580528798495,7.487037815523701,25,0
15,47423.42843607621,307.74381480558986,0.8995852164620958,16.40115579949328,38,0
16,58903.01308115608,303.82667301681016,0.7418129092665151,0.5173416345084036,74,0
17,79851.8610050626,432.0696412483359,0.9721829681870411,2.054918210788421,28,1
18,71034.776771001,355.4439584264969,0.5990715103352405,13.227474727507222,67,0
19,57666.768318813985,443.1162523646645,0.24171373209131797,5.824971505401148,40,0
20,88126.02499862605,397.37381199061855,0.32765502992164286,19.027724368009554,23,0
21,43251.916761943976,315.68601366125654,0.3198359232919671,8.721212241846095,63,0
22,57753.741610845726,800.1172805233272,0.3264943276632516,8.58729640778354,32,1
23,64804.375112900714,304.52272226389033,0.6729641731118157,13.561590203818625,28,0
24,73326.64850061841,704.8451793853969,0.5308079280904162,15.351371246123794,44,1
